"Time", "Wind Dir", "Wind Speed", "Max Wind Dir", "Max Wind Speed", "Temp.", "Humi.", "HeatIndex", "Pres.", "QFF.", "Prec.", "Vis.", "Weather."
"11/03 01:00", "111", "7.0", "96", "10.3", "23.2", "74.2", "23.9", "970.4", "1014.3", "0.0", "", ""
"11/03 01:15", "117", "7.0", "90", "12.1", "23.2", "74.1", "23.9", "970.6", "1014.5", "0.0", "", ""
"11/03 01:30", "106", "8.3", "107", "12.2", "23.9", "71.0", "24.8", "970.8", "1014.6", "0.0", "", ""
"11/03 01:45", "95", "11.5", "98", "17.3", "24.5", "67.5", "25.5", "970.9", "1014.7", "0.0", "", ""
"11/03 02:00", "97", "11.1", "113", "15.9", "24.8", "65.8", "25.8", "971.0", "1014.7", "0.0", "", ""
"11/03 02:15", "93", "12.5", "93", "17.9", "25.0", "64.6", "26.0", "971.1", "1014.8", "0.0", "", ""
"11/03 02:30", "81", "11.3", "96", "16.3", "25.4", "63.6", "26.4", "971.2", "1014.8", "0.0", "", ""
"11/03 02:45", "87", "11.6", "90", "16.3", "25.7", "63.1", "26.7", "971.2", "1014.8", "0.0", "", ""
"11/03 03:00", "87", "10.7", "101", "17.5", "25.8", "62.8", "26.8", "971.1", "1014.6", "0.0", "", ""
"11/03 03:15", "97", "10.5", "98", "15.2", "26.2", "62.8", "27.3", "970.9", "1014.3", "0.0", "", ""
"11/03 03:30", "87", "11.1", "101", "16.1", "26.3", "62.3", "27.3", "970.9", "1014.3", "0.0", "", ""
"11/03 03:45", "91", "10.1", "79", "15.0", "26.1", "63.4", "27.2", "970.7", "1014.2", "0.0", "", ""
"11/03 04:00", "92", "9.8", "82", "15.9", "26.5", "62.7", "27.6", "970.4", "1013.8", "0.0", "", ""
"11/03 04:15", "88", "9.4", "90", "13.0", "27.1", "61.3", "28.3", "970.2", "1013.5", "0.0", "", ""
"11/03 04:30", "95", "10.4", "98", "16.3", "27.2", "61.4", "28.5", "969.8", "1013.1", "0.0", "", ""
"11/03 04:45", "91", "13.0", "90", "20.2", "27.4", "61.4", "28.7", "969.5", "1012.7", "0.0", "", ""
"11/03 05:00", "92", "14.2", "79", "19.6", "27.7", "60.8", "29.0", "969.0", "1012.1", "0.0", "", ""
"11/03 05:15", "89", "13.8", "90", "19.8", "27.8", "60.0", "29.2", "968.7", "1011.9", "0.0", "", ""
